date,apple,pen
2006-01-01,33271.0,2574.0
2006-01-02,31409.0,2431.0
2006-01-03,29529.0,2260.0
2006-01-04,27732.0,2107.0
2006-01-05,25790.0,1974.0
2006-01-06,23892.0,1825.0
2006-01-07,21997.0,1687.0
2006-01-08,20161.0,1567.0
2006-01-09,18293.0,1442.0
2006-01-10,16414.0,1286.0
2006-01-11,14618.0,1135.0
2006-01-12,12703.0,995.0
2006-01-13,10783.0,859.0
2006-01-14,8911.0,698.0
2006-01-15,42091.0,3179.0
2006-01-16,40197.0,3019.0
2006-01-17,38289.0,2877.0
2006-01-18,36449.0,2727.0
2006-01-19,34477.0,2581.0
2006-01-20,32616.0,2435.0
2006-01-21,30793.0,2303.0
2006-01-22,28883.0,2151.0
2006-01-23,27049.0,2000.0
2006-01-24,25200.0,1842.0
2006-01-25,23273.0,1676.0
2006-01-26,21391.0,1520.0
2006-01-27,19594.0,1395.0
2006-01-28,17746.0,1236.0
2006-01-29,15872.0,1108.0
2006-01-30,13994.0,968.0
2006-01-31,12167.0,822.0
2006-02-01,45336.0,3413.0
2006-02-02,43452.0,3284.0
2006-02-03,41633.0,3153.0
2006-02-04,39781.0,3015.0
2006-02-05,37918.0,2860.0
2006-02-06,36068.0,2701.0
2006-02-07,34274.0,2552.0
2006-02-08,32401.0,2415.0
2006-02-09,30517.0,2276.0
2006-02-10,28622.0,2133.0
2006-02-11,26733.0,1994.0
2006-02-12,24911.0,1852.0
2006-02-13,23058.0,1696.0
2006-02-14,21149.0,1547.0
2006-02-15,54173.0,4108.0
2006-02-16,52277.0,3966.0
2006-02-17,50304.0,3836.0
2006-02-18,48556.0,3695.0
2006-02-19,46744.0,3554.0
2006-02-20,44833.0,3418.0
2006-02-21,43002.0,3278.0
2006-02-22,41159.0,3141.0
2006-02-23,39214.0,3007.0
2006-02-24,37351.0,2854.0
2006-02-25,35525.0,2699.0
2006-02-26,33682.0,2546.0
2006-02-27,31753.0,2411.0
2006-02-28,29865.0,2286.0
2006-03-01,63178.0,4754.0
2006-03-02,61314.0,4584.0
2006-03-03,59456.0,4428.0
2006-03-04,57574.0,4286.0
2006-03-05,55730.0,4142.0
2006-03-06,53911.0,4015.0
2006-03-07,52049.0,3883.0
2006-03-08,50153.0,3740.0
2006-03-09,48321.0,3618.0
2006-03-10,46522.0,3482.0
2006-03-11,44662.0,3341.0
2006-03-12,42823.0,3216.0
2006-03-13,40915.0,3059.0
2006-03-14,39061.0,2924.0
2006-03-15,72381.0,5597.0
2006-03-16,70487.0,5442.0
2006-03-17,68628.0,5298.0
2006-03-18,66772.0,5155.0
2006-03-19,64908.0,5007.0
2006-03-20,63025.0,4882.0
2006-03-21,61158.0,4741.0
2006-03-22,59281.0,4591.0
2006-03-23,57299.0,4429.0
2006-03-24,55412.0,4311.0
2006-03-25,53491.0,4162.0
2006-03-26,51566.0,4028.0
2006-03-27,49686.0,3883.0
2006-03-28,47850.0,3740.0
2006-03-29,45957.0,3601.0
2006-03-30,44053.0,3457.0
2006-03-31,42142.0,3323.0
2006-04-01,74918.0,5839.0
2006-04-02,73036.0,5692.0
2006-04-03,71221.0,5548.0
2006-04-04,69337.0,5391.0
2006-04-05,67475.0,5243.0
2006-04-06,65623.0,5114.0
2006-04-07,63745.0,4971.0
2006-04-08,61911.0,4810.0
2006-04-09,59996.0,4652.0
2006-04-10,58155.0,4492.0
2006-04-11,56292.0,4328.0
2006-04-12,54487.0,4185.0
2006-04-13,52641.0,4069.0
2006-04-14,50707.0,3915.0
2006-04-15,83373.0,6374.0
2006-04-16,81480.0,6220.0
2006-04-17,79613.0,6081.0
2006-04-18,77773.0,5927.0
2006-04-19,75924.0,5765.0
2006-04-20,74060.0,5613.0
2006-04-21,72154.0,5461.0
2006-04-22,70206.0,5315.0
2006-04-23,68306.0,5162.0
2006-04-24,66448.0,5026.0
2006-04-25,64631.0,4876.0
2006-04-26,62717.0,4725.0
2006-04-27,60798.0,4571.0
2006-04-28,58961.0,4413.0
2006-04-29,57127.0,4263.0
2006-04-30,55241.0,4108.0
2006-05-01,88218.0,6643.0
2006-05-02,86340.0,6475.0
2006-05-03,84467.0,6342.0
2006-05-04,82665.0,6193.0
2006-05-05,80843.0,6048.0
2006-05-06,78985.0,5906.0
2006-05-07,77106.0,5760.0
2006-05-08,75247.0,5615.0
2006-05-09,73401.0,5460.0
2006-05-10,71497.0,5331.0
2006-05-11,69647.0,5185.0
2006-05-12,67802.0,5040.0
2006-05-13,65918.0,4884.0
2006-05-14,64042.0,4767.0
2006-05-15,97006.0,7430.0
2006-05-16,95146.0,7274.0
2006-05-17,93274.0,7138.0
2006-05-18,91404.0,7014.0
2006-05-19,89567.0,6860.0
2006-05-20,87720.0,6716.0
2006-05-21,85870.0,6588.0
2006-05-22,84022.0,6455.0
2006-05-23,82142.0,6308.0
2006-05-24,80207.0,6160.0
2006-05-25,78297.0,6030.0
2006-05-26,76465.0,5885.0
2006-05-27,74540.0,5751.0
2006-05-28,72669.0,5610.0
2006-05-29,70790.0,5458.0
2006-05-30,68913.0,5307.0
2006-05-31,66971.0,5159.0
2006-06-01,99994.0,7714.0
2006-06-02,98075.0,7568.0
2006-06-03,96120.0,7423.0
2006-06-04,94285.0,7276.0
2006-06-05,92401.0,7148.0
2006-06-06,90559.0,6997.0
2006-06-07,88759.0,6855.0
2006-06-08,86934.0,6739.0
2006-06-09,85105.0,6608.0
2006-06-10,83239.0,6462.0
2006-06-11,81355.0,6330.0
2006-06-12,79578.0,6212.0
2006-06-13,77727.0,6065.0
2006-06-14,75888.0,5948.0
2006-06-15,109014.0,8510.0
2006-06-16,107182.0,8366.0
2006-06-17,105299.0,8225.0
2006-06-18,103414.0,8088.0
2006-06-19,101605.0,7935.0
2006-06-20,99727.0,7782.0
2006-06-21,97819.0,7650.0
2006-06-22,95992.0,7494.0
2006-06-23,94058.0,7349.0
2006-06-24,92142.0,7225.0
2006-06-25,90275.0,7071.0
