date,apple,pen
2006-01-31,12157,811
2006-02-28,29859,2280
2006-03-31,42135,3317
2006-04-30,55235,4094
2006-05-31,66963,5158
2006-06-30,80878,6330
2006-07-31,92872,7211
2006-08-31,105031,8214
2006-09-30,119367,9444
2006-10-31,131634,10190
2006-11-30,146027,11196
2006-12-31,157459,11956
2007-01-31,169920,12899
2007-02-28,188089,14137
2007-03-31,200542,15010
2007-04-30,214165,16064
2007-05-31,225954,17070
2007-06-30,240013,18259
2007-07-31,252220,19510
2007-08-31,264681,20290
2007-09-30,278788,21395
2007-10-31,291395,22495
2007-11-30,305403,23549
2007-12-31,317826,24636
2008-01-31,330266,25663
2008-02-29,346265,26807
2008-03-31,358192,27690
2008-04-30,372336,28718
2008-05-31,384108,29660
2008-06-30,397356,30869
2008-07-31,408982,31942
2008-08-31,421051,32912
2008-09-30,434729,34139
2008-10-31,446392,35356
2008-11-30,460046,36527
2008-12-31,472009,37566
2009-01-31,484460,38593
2009-02-28,502340,39975
2009-03-31,514671,40945
2009-04-30,528524,41931
2009-05-31,540220,42974
2009-06-30,553851,43901
2009-07-31,565977,44687
2009-08-31,577939,45416
2009-09-30,592063,46623
2009-10-31,603516,47459
2009-11-30,617375,48732
2009-12-31,629134,49664
2010-01-31,641409,50392
2010-02-28,658885,51784
2010-03-31,671031,52643
2010-04-30,685093,53657
2010-05-31,697441,54563
2010-06-30,712135,55645
2010-07-31,723907,56537
2010-08-31,735868,57392
2010-09-30,750576,58425
2010-10-31,762398,59334
2010-11-30,776688,60361
2010-12-31,788560,61088
2011-01-31,799854,62096
2011-02-28,818024,63256
2011-03-31,830105,64093
2011-04-30,844588,65174
2011-05-31,857029,66273
2011-06-30,870860,67432
2011-07-31,883139,68359
2011-08-31,894953,69232
2011-09-30,908750,70289
2011-10-31,920297,71173
2011-11-30,934449,72390
2011-12-31,946296,73373
2012-01-31,958713,74449
2012-02-29,974174,75710
2012-03-31,985936,76546
2012-04-30,999572,77591
2012-05-31,1011189,78498
2012-06-30,1025126,79636
2012-07-31,1036634,80421
2012-08-31,1049106,81273
2012-09-30,1063134,82412
2012-10-31,1074933,83440
2012-11-30,1088939,84241
2012-12-31,1101165,85189
2013-01-31,1112679,86189
2013-02-28,1129961,87501
2013-03-31,1142214,88609
2013-04-30,1156249,89738
2013-05-31,1167648,90649
2013-06-30,1181280,91700
2013-07-31,1193464,92808
2013-08-31,1205052,93561
2013-09-30,1218866,94662
2013-10-31,1230689,95479
2013-11-30,1243837,96635
2013-12-31,1255524,97535
2014-01-31,1267624,98328
2014-02-28,1284740,99853
2014-03-31,1296545,100920
2014-04-30,1310883,101964
2014-05-31,1323105,102955
2014-06-30,1337041,104221
2014-07-31,1349373,105053
2014-08-31,1362010,105987
2014-09-30,1375555,107007
2014-10-31,1387603,107927
2014-11-30,1401322,108891
2014-12-31,1413327,109926
2015-01-31,1424718,110961
2015-02-28,1442326,112405
2015-03-31,1454395,113201
2015-04-30,1468085,114441
2015-05-31,1480104,115437
2015-06-30,1494123,116558
2015-07-31,1506197,117392
2015-08-31,1518055,118479
2015-09-30,1532120,119640
2015-10-31,1543664,120608
2015-11-30,1557415,121734
2015-12-31,1569425,122601
