date,apple,pen
2006-01-01,33271,2574
2006-01-02,31409,2431
2006-01-03,29529,2260
2006-01-04,27732,2107
2006-01-05,25790,1974
2006-01-06,23892,1825
2006-01-07,21997,1687
2006-01-08,20161,1567
2006-01-09,18293,1442
2006-01-10,16414,1286
2006-01-11,14618,1135
2006-01-12,12703,995
2006-01-13,10783,859
2006-01-14,8911,698
2006-01-15,42091,3179
2006-01-16,40197,3019
2006-01-17,38289,2877
2006-01-18,36449,2727
2006-01-19,34477,2581
2006-01-20,32616,2435
2006-01-21,30793,2303
2006-01-22,28883,2151
2006-01-23,27049,2000
2006-01-24,25200,1842
2006-01-25,23273,1676
2006-01-26,21391,1520
2006-01-27,19594,1395
2006-01-28,17746,1236
2006-01-29,15872,1108
2006-01-30,13994,968
2006-01-31,12167,822
2006-02-01,45346,3424
2006-02-02,43462,3295
2006-02-03,41643,3164
2006-02-04,39791,3026
2006-02-05,37928,2871
2006-02-06,36078,2712
2006-02-07,34284,2563
2006-02-08,32411,2426
2006-02-09,30527,2287
2006-02-10,28632,2144
2006-02-11,26743,2005
2006-02-12,24921,1863
2006-02-13,23068,1707
2006-02-14,21159,1558
2006-02-15,54183,4119
2006-02-16,52287,3977
2006-02-17,50314,3847
2006-02-18,48566,3706
2006-02-19,46754,3565
2006-02-20,44843,3429
2006-02-21,43012,3289
2006-02-22,41169,3152
2006-02-23,39224,3018
2006-02-24,37361,2865
2006-02-25,35535,2710
2006-02-26,33692,2557
2006-02-27,31763,2422
2006-02-28,29875,2297
2006-03-01,63194,4771
2006-03-02,61330,4601
2006-03-03,59472,4445
2006-03-04,57590,4303
2006-03-05,55746,4159
2006-03-06,53927,4032
2006-03-07,52065,3900
2006-03-08,50169,3757
2006-03-09,48337,3635
2006-03-10,46538,3499
2006-03-11,44678,3358
2006-03-12,42839,3233
2006-03-13,40931,3076
2006-03-14,39077,2941
2006-03-15,72397,5614
2006-03-16,70503,5459
2006-03-17,68644,5315
2006-03-18,66788,5172
2006-03-19,64924,5024
2006-03-20,63041,4899
2006-03-21,61174,4758
2006-03-22,59297,4608
2006-03-23,57315,4446
2006-03-24,55428,4328
2006-03-25,53507,4179
2006-03-26,51582,4045
2006-03-27,49702,3900
2006-03-28,47866,3757
2006-03-29,45973,3618
2006-03-30,44069,3474
2006-03-31,42158,3340
2006-04-01,74941,5862
2006-04-02,73059,5715
2006-04-03,71244,5571
2006-04-04,69360,5414
2006-04-05,67498,5266
2006-04-06,65646,5137
2006-04-07,63768,4994
2006-04-08,61934,4833
2006-04-09,60019,4675
2006-04-10,58178,4515
2006-04-11,56315,4351
2006-04-12,54510,4208
2006-04-13,52664,4092
2006-04-14,50730,3938
2006-04-15,83396,6397
2006-04-16,81503,6243
2006-04-17,79636,6104
2006-04-18,77796,5950
2006-04-19,75947,5788
2006-04-20,74083,5636
2006-04-21,72177,5484
2006-04-22,70229,5338
2006-04-23,68329,5185
2006-04-24,66471,5049
2006-04-25,64654,4899
2006-04-26,62740,4748
2006-04-27,60821,4594
2006-04-28,58984,4436
2006-04-29,57150,4286
2006-04-30,55264,4131
2006-05-01,88247,6680
2006-05-02,86369,6512
2006-05-03,84496,6379
2006-05-04,82694,6230
2006-05-05,80872,6085
2006-05-06,79014,5943
2006-05-07,77135,5797
