date,apple,pen
2006-01-01,14244,767
2006-01-02,13395,722
2006-01-03,12475,689
2006-01-04,11601,634
2006-01-05,10775,586
2006-01-06,9910,538
2006-01-07,9073,499
2006-01-08,8280,455
2006-01-09,7473,394
2006-01-10,6617,343
2006-01-11,5817,295
2006-01-12,4936,253
2006-01-13,4052,213
2006-01-14,3200,159
2006-01-15,17384,866
2006-01-16,16518,813
2006-01-17,15642,769
2006-01-18,14812,721
2006-01-19,13893,675
2006-01-20,13049,629
2006-01-21,12231,591
2006-01-22,11354,542
2006-01-23,10528,494
2006-01-24,9692,442
2006-01-25,8785,396
2006-01-26,7904,363
2006-01-27,7097,323
2006-01-28,6208,278
2006-01-29,5395,233
2006-01-30,4553,187
2006-01-31,3684,131
2006-02-01,17940,883
2006-02-02,17057,837
2006-02-03,16241,801
2006-02-04,15421,760
2006-02-05,14582,717
2006-02-06,13702,676
2006-02-07,12812,644
2006-02-08,11947,600
2006-02-09,11111,554
2006-02-10,10270,506
2006-02-11,9419,459
2006-02-12,8579,423
2006-02-13,7731,382
2006-02-14,6848,332
2006-02-15,20890,1087
2006-02-16,20057,1039
2006-02-17,19209,979
2006-02-18,18323,942
2006-02-19,17555,907
2006-02-20,16710,872
2006-02-21,15865,822
2006-02-22,15032,784
2006-02-23,14190,744
2006-02-24,13354,688
2006-02-25,12525,645
2006-02-26,11650,594
2006-02-27,10819,544
2006-02-28,9929,505
2006-03-01,24069,1273
2006-03-02,23259,1230
2006-03-03,22414,1188
2006-03-04,21506,1146
2006-03-05,20665,1112
2006-03-06,19832,1066
2006-03-07,18936,1030
2006-03-08,18094,979
2006-03-09,17272,931
2006-03-10,16359,872
2006-03-11,15465,827
2006-03-12,14591,782
2006-03-13,13818,753
2006-03-14,12936,704
2006-03-15,27020,1492
2006-03-16,26184,1460
2006-03-17,25346,1420
2006-03-18,24523,1382
2006-03-19,23602,1338
2006-03-20,22745,1300
2006-03-21,21931,1264
2006-03-22,21064,1204
2006-03-23,20275,1162
2006-03-24,19423,1110
2006-03-25,18560,1066
2006-03-26,17717,1017
2006-03-27,16861,968
2006-03-28,16126,917
2006-03-29,15273,869
2006-03-30,14432,819
2006-03-31,13622,785
2006-04-01,27661,1490
2006-04-02,26837,1450
2006-04-03,25982,1406
2006-04-04,25124,1360
2006-04-05,24311,1315
2006-04-06,23452,1263
2006-04-07,22608,1216
2006-04-08,21770,1180
2006-04-09,20914,1136
2006-04-10,20088,1082
2006-04-11,19207,1030
2006-04-12,18377,977
2006-04-13,17532,921
2006-04-14,16726,877
2006-04-15,30765,1552
2006-04-16,29975,1520
2006-04-17,29074,1477
2006-04-18,28209,1427
2006-04-19,27361,1385
2006-04-20,26531,1335
2006-04-21,25695,1280
2006-04-22,24849,1231
2006-04-23,23974,1182
2006-04-24,23071,1136
2006-04-25,22201,1086
2006-04-26,21359,1046
2006-04-27,20545,998
2006-04-28,19665,950
2006-04-29,18782,900
2006-04-30,17954,848
2006-05-01,32002,1605
2006-05-02,31141,1554
2006-05-03,30296,1513
2006-05-04,29469,1470
2006-05-05,28618,1429
2006-05-06,27762,1385
2006-05-07,26937,1351
2006-05-08,26073,1315
2006-05-09,25218,1273
2006-05-10,24368,1229
2006-05-11,23512,1183
2006-05-12,22670,1138
2006-05-13,21836,1087
2006-05-14,20963,1051
2006-05-15,35048,1725
2006-05-16,34193,1679
2006-05-17,33310,1634
2006-05-18,32524,1597
2006-05-19,31612,1556
2006-05-20,30769,1514
2006-05-21,29887,1470
2006-05-22,29054,1426
2006-05-23,28249,1387
2006-05-24,27373,1347
2006-05-25,26520,1306
2006-05-26,25707,1265
2006-05-27,24881,1219
2006-05-28,24022,1165
2006-05-29,23159,1115
2006-05-30,22341,1077
2006-05-31,21486,1025
2006-06-01,35709,1817
2006-06-02,34862,1774
2006-06-03,33998,1734
2006-06-04,33138,1689
2006-06-05,32307,1644
2006-06-06,31473,1601
2006-06-07,30598,1550
2006-06-08,29748,1503
2006-06-09,28886,1465
2006-06-10,28060,1422
2006-06-11,27198,1379
2006-06-12,26323,1344
2006-06-13,25465,1309
2006-06-14,24612,1267
2006-06-15,38707,2032
2006-06-16,37893,1997
2006-06-17,37025,1952
2006-06-18,36155,1920
2006-06-19,35278,1871
2006-06-20,34446,1828
2006-06-21,33600,1776
2006-06-22,32749,1728
2006-06-23,31929,1692
2006-06-24,31117,1633
2006-06-25,30244,1601
2006-06-26,29438,1564
2006-06-27,28603,1524
2006-06-28,27761,1477
2006-06-29,26977,1435
2006-06-30,26117,1392
2006-07-01,40375,2140
2006-07-02,39535,2095
2006-07-03,38696,2057
2006-07-04,37868,2024
2006-07-05,37001,1981
2006-07-06,36146,1930
2006-07-07,35310,1898
2006-07-08,34484,1858
2006-07-09,33639,1808
2006-07-10,32812,1765
2006-07-11,32024,1728
2006-07-12,31157,1674
2006-07-13,30241,1627
2006-07-14,29410,1591
2006-07-15,43484,2330
2006-07-16,42701,2287
2006-07-17,41886,2244
2006-07-18,41028,2205
2006-07-19,40186,2162
2006-07-20,39293,2112
2006-07-21,38473,2059
2006-07-22,37637,2022
2006-07-23,36769,1985
2006-07-24,35928,1937
2006-07-25,35130,1893
2006-07-26,34271,1843
2006-07-27,33400,1804
2006-07-28,32537,1753
2006-07-29,31667,1710
2006-07-30,30738,1668
2006-07-31,29895,1631
2006-08-01,44162,2420
2006-08-02,43290,2384
2006-08-03,42456,2342
2006-08-04,41529,2288
2006-08-05,40630,2234
2006-08-06,39835,2182
2006-08-07,39021,2119
2006-08-08,38152,2071
2006-08-09,37315,2023
2006-08-10,36470,1980
2006-08-11,35670,1940
2006-08-12,34861,1890
2006-08-13,34044,1845
2006-08-14,33187,1796
2006-08-15,47494,2511
2006-08-16,46625,2476
2006-08-17,45779,2435
2006-08-18,44890,2384
2006-08-19,44029,2334
2006-08-20,43173,2287
2006-08-21,42359,2247
2006-08-22,41517,2198
2006-08-23,40679,2148
2006-08-24,39856,2107
2006-08-25,39043,2057
2006-08-26,38172,2008
2006-08-27,37354,1970
2006-08-28,36518,1929
2006-08-29,35643,1879
2006-08-30,34800,1834
2006-08-31,33915,1794
2006-09-01,48142,2527
2006-09-02,47285,2480
2006-09-03,46410,2437
2006-09-04,45576,2387
2006-09-05,44738,2343
2006-09-06,43859,2300
2006-09-07,43030,2265
2006-09-08,42176,2212
2006-09-09,41288,2164
2006-09-10,40421,2116
2006-09-11,39621,2073
2006-09-12,38761,2030
2006-09-13,37896,1993
2006-09-14,37036,1949
2006-09-15,51279,2710
2006-09-16,50440,2671
2006-09-17,49577,2629
2006-09-18,48736,2579
2006-09-19,47866,2538
2006-09-20,47002,2499
2006-09-21,46135,2449
2006-09-22,45255,2405
2006-09-23,44378,2363
2006-09-24,43535,2311
2006-09-25,42724,2271
2006-09-26,41868,2239
2006-09-27,41000,2198
2006-09-28,40188,2148
2006-09-29,39312,2117
2006-09-30,38494,2073
2006-10-01,52674,2784
2006-10-02,51823,2735
2006-10-03,50994,2694
2006-10-04,50170,2656
2006-10-05,49328,2597
2006-10-06,48491,2551
2006-10-07,47639,2503
2006-10-08,46830,2453
2006-10-09,45951,2405
2006-10-10,45102,2366
2006-10-11,44249,2314
2006-10-12,43387,2269
2006-10-13,42544,2229
2006-10-14,41728,2196
2006-10-15,55985,2950
2006-10-16,55122,2906
2006-10-17,54299,2867
2006-10-18,53445,2835
2006-10-19,52567,2795
2006-10-20,51690,2751
2006-10-21,50871,2706
2006-10-22,50027,2666
2006-10-23,49141,2614
2006-10-24,48261,2566
2006-10-25,47387,2518
2006-10-26,46539,2481
2006-10-27,45703,2429
2006-10-28,44829,2392
2006-10-29,43921,2344
2006-10-30,43066,2300
2006-10-31,42223,2265
2006-11-01,56553,3028
2006-11-02,55696,2979
2006-11-03,54864,2942
2006-11-04,54001,2913
2006-11-05,53186,2871
2006-11-06,52290,2830
2006-11-07,51495,2784
2006-11-08,50648,2743
2006-11-09,49852,2706
2006-11-10,49030,2654
2006-11-11,48141,2618
2006-11-12,47311,2585
2006-11-13,46451,2548
2006-11-14,45589,2510
2006-11-15,59497,3265
2006-11-16,58660,3222
2006-11-17,57831,3166
2006-11-18,56961,3120
2006-11-19,56061,3072
2006-11-20,55195,3023
2006-11-21,54302,2984
2006-11-22,53460,2948
2006-11-23,52621,2907
2006-11-24,51781,2861
2006-11-25,50943,2809
2006-11-26,50093,2763
2006-11-27,49202,2716
2006-11-28,48308,2673
2006-11-29,47439,2616
2006-11-30,46570,2566
2006-12-01,60697,3306
2006-12-02,59834,3265
2006-12-03,58964,3215
2006-12-04,58136,3179
2006-12-05,57280,3125
2006-12-06,56454,3075
2006-12-07,55541,3032
2006-12-08,54679,2982
2006-12-09,53855,2934
2006-12-10,52982,2891
2006-12-11,52174,2850
2006-12-12,51398,2806
2006-12-13,50559,2771
2006-12-14,49719,2733
2006-12-15,63881,3491
2006-12-16,63027,3437
2006-12-17,62153,3396
2006-12-18,61256,3360
2006-12-19,60380,3314
2006-12-20,59569,3276
2006-12-21,58720,3225
2006-12-22,57865,3183
2006-12-23,56994,3146
2006-12-24,56146,3098
2006-12-25,55239,3055
2006-12-26,54406,3011
2006-12-27,53578,2968
2006-12-28,52735,2911
2006-12-29,51865,2864
2006-12-30,50999,2813
2006-12-31,50160,2765
2007-01-01,64462,3532
2007-01-02,63592,3480
2007-01-03,62723,3444
2007-01-04,61910,3389
2007-01-05,61068,3350
2007-01-06,60164,3308
2007-01-07,59282,3259
2007-01-08,58457,3215
2007-01-09,57564,3180
2007-01-10,56799,3148
2007-01-11,55966,3097
2007-01-12,55121,3052
2007-01-13,54308,3003
2007-01-14,53455,2955
2007-01-15,67734,3706
2007-01-16,66871,3667
2007-01-17,65938,3619
2007-01-18,65104,3575
2007-01-19,64253,3529
2007-01-20,63447,3485
2007-01-21,62566,3439
2007-01-22,61655,3393
2007-01-23,60784,3345
2007-01-24,59905,3304
2007-01-25,59054,3261
2007-01-26,58175,3219
2007-01-27,57339,3174
2007-01-28,56530,3127
2007-01-29,55667,3071
2007-01-30,54787,3037
2007-01-31,53903,2987
2007-02-01,68330,3734
2007-02-02,67489,3697
2007-02-03,66651,3649
2007-02-04,65797,3598
2007-02-05,64958,3547
2007-02-06,64095,3501
2007-02-07,63218,3465
2007-02-08,62320,3425
2007-02-09,61465,3383
2007-02-10,60614,3335
2007-02-11,59763,3287
2007-02-12,58856,3233
2007-02-13,58040,3196
2007-02-14,57166,3148
2007-02-15,71316,3939
2007-02-16,70472,3889
2007-02-17,69620,3851
2007-02-18,68853,3799
2007-02-19,68046,3736
2007-02-20,67242,3696
2007-02-21,66412,3647
2007-02-22,65567,3604
2007-02-23,64708,3552
2007-02-24,63836,3515
2007-02-25,63012,3468
2007-02-26,62144,3434
2007-02-27,61324,3388
2007-02-28,60519,3345
2007-03-01,74474,4028
2007-03-02,73598,3973
2007-03-03,72761,3928
2007-03-04,71884,3889
2007-03-05,71005,3854
2007-03-06,70183,3808
2007-03-07,69360,3771
2007-03-08,68533,3732
2007-03-09,67671,3696
2007-03-10,66823,3656
2007-03-11,65963,3618
2007-03-12,65125,3573
