date,apple,pen
2006-01-01,2967,306
2006-01-02,2874,294
2006-01-03,2796,283
2006-01-04,2714,275
2006-01-05,2640,263
2006-01-06,2559,251
2006-01-07,2486,244
2006-01-08,2391,233
2006-01-09,2300,220
2006-01-10,2215,212
2006-01-11,2125,201
2006-01-12,2056,192
2006-01-13,1972,187
2006-01-14,1871,172
2006-01-15,4764,494
2006-01-16,4675,484
2006-01-17,4590,475
2006-01-18,4504,468
2006-01-19,4411,457
2006-01-20,4334,449
2006-01-21,4232,435
2006-01-22,4125,426
2006-01-23,4033,412
2006-01-24,3942,406
2006-01-25,3852,396
2006-01-26,3753,386
2006-01-27,3631,380
2006-01-28,3538,365
2006-01-29,3430,349
2006-01-30,3330,338
2006-01-31,3241,328
2006-02-01,6091,658
2006-02-02,5996,651
2006-02-03,5914,645
2006-02-04,5811,632
2006-02-05,5692,625
2006-02-06,5590,609
2006-02-07,5489,598
2006-02-08,5395,591
2006-02-09,5320,579
2006-02-10,5232,569
2006-02-11,5137,558
2006-02-12,5045,551
2006-02-13,4939,540
2006-02-14,4844,531
2006-02-15,7757,862
2006-02-16,7650,853
2006-02-17,7545,843
2006-02-18,7449,833
2006-02-19,7355,823
2006-02-20,7250,809
2006-02-21,7163,800
2006-02-22,7068,789
2006-02-23,6978,780
2006-02-24,6866,770
2006-02-25,6773,762
2006-02-26,6671,748
2006-02-27,6576,739
2006-02-28,6478,725
2006-03-01,9419,1066
2006-03-02,9331,1062
2006-03-03,9234,1054
2006-03-04,9141,1045
2006-03-05,9042,1043
2006-03-06,8947,1027
2006-03-07,8856,1010
2006-03-08,8790,1004
2006-03-09,8695,996
2006-03-10,8587,987
2006-03-11,8507,978
2006-03-12,8413,963
2006-03-13,8323,959
2006-03-14,8229,949
2006-03-15,11107,1248
2006-03-16,11010,1235
2006-03-17,10908,1220
2006-03-18,10814,1210
2006-03-19,10730,1201
2006-03-20,10623,1191
2006-03-21,10528,1179
2006-03-22,10447,1171
2006-03-23,10349,1161
2006-03-24,10261,1151
2006-03-25,10170,1141
2006-03-26,10072,1131
2006-03-27,9965,1118
2006-03-28,9873,1108
2006-03-29,9783,1098
2006-03-30,9708,1088
2006-03-31,9604,1077
2006-04-01,12404,1391
2006-04-02,12315,1379
2006-04-03,12219,1372
2006-04-04,12120,1365
2006-04-05,12031,1352
2006-04-06,11952,1344
2006-04-07,11853,1323
2006-04-08,11753,1310
2006-04-09,11659,1303
2006-04-10,11552,1292
2006-04-11,11464,1284
2006-04-12,11355,1275
2006-04-13,11262,1267
2006-04-14,11182,1256
2006-04-15,14186,1599
2006-04-16,14092,1590
2006-04-17,14018,1581
2006-04-18,13921,1567
2006-04-19,13838,1554
2006-04-20,13736,1543
2006-04-21,13643,1533
2006-04-22,13554,1524
2006-04-23,13471,1511
2006-04-24,13379,1495
2006-04-25,13275,1484
2006-04-26,13187,1472
2006-04-27,13098,1471
2006-04-28,13010,1455
2006-04-29,12919,1451
2006-04-30,12831,1438
2006-05-01,15797,1757
2006-05-02,15708,1750
2006-05-03,15605,1743
2006-05-04,15511,1730
2006-05-05,15421,1729
2006-05-06,15325,1720
2006-05-07,15223,1711
2006-05-08,15136,1702
2006-05-09,15051,1698
2006-05-10,14951,1685
2006-05-11,14872,1672
2006-05-12,14788,1661
2006-05-13,14687,1655
2006-05-14,14603,1637
2006-05-15,17514,1967
2006-05-16,17429,1958
2006-05-17,17331,1946
2006-05-18,17244,1934
2006-05-19,17160,1921
2006-05-20,17069,1911
2006-05-21,16983,1906
2006-05-22,16882,1900
2006-05-23,16787,1893
2006-05-24,16699,1879
2006-05-25,16597,1865
2006-05-26,16496,1855
2006-05-27,16401,1848
2006-05-28,16311,1844
2006-05-29,16212,1834
2006-05-30,16128,1820
2006-05-31,16058,1811
2006-06-01,19043,2136
2006-06-02,18960,2129
2006-06-03,18872,2120
2006-06-04,18784,2108
2006-06-05,18667,2097
2006-06-06,18592,2085
2006-06-07,18478,2076
2006-06-08,18376,2064
2006-06-09,18299,2046
2006-06-10,18210,2036
2006-06-11,18119,2029
2006-06-12,18028,2023
2006-06-13,17927,2013
2006-06-14,17836,2002
2006-06-15,20717,2366
2006-06-16,20637,2357
2006-06-17,20556,2352
2006-06-18,20456,2338
2006-06-19,20367,2326
2006-06-20,20278,2317
2006-06-21,20196,2305
2006-06-22,20084,2293
2006-06-23,19991,2277
2006-06-24,19900,2267
2006-06-25,19818,2258
2006-06-26,19721,2242
2006-06-27,19617,2237
2006-06-28,19522,2223
2006-06-29,19437,2210
2006-06-30,19346,2187
2006-07-01,22175,2486
2006-07-02,22082,2479
2006-07-03,21994,2473
2006-07-04,21914,2464
2006-07-05,21813,2456
2006-07-06,21728,2449
2006-07-07,21640,2440
2006-07-08,21533,2435
2006-07-09,21425,2423
2006-07-10,21330,2411
2006-07-11,21230,2406
2006-07-12,21143,2397
2006-07-13,21046,2387
2006-07-14,20949,2382
2006-07-15,23873,2681
2006-07-16,23772,2670
2006-07-17,23695,2658
2006-07-18,23591,2645
2006-07-19,23509,2635
2006-07-20,23425,2623
2006-07-21,23348,2615
2006-07-22,23254,2607
2006-07-23,23155,2599
2006-07-24,23060,2594
2006-07-25,22973,2586
2006-07-26,22871,2581
2006-07-27,22763,2569
2006-07-28,22656,2559
2006-07-29,22562,2545
2006-07-30,22476,2537
2006-07-31,22408,2531
2006-08-01,25253,2859
2006-08-02,25154,2851
2006-08-03,25076,2842
2006-08-04,24991,2833
2006-08-05,24890,2825
2006-08-06,24796,2815
2006-08-07,24695,2805
2006-08-08,24607,2796
2006-08-09,24501,2785
2006-08-10,24401,2773
2006-08-11,24293,2763
2006-08-12,24197,2756
2006-08-13,24088,2753
2006-08-14,23997,2746
2006-08-15,26904,3067
2006-08-16,26802,3058
2006-08-17,26700,3044
2006-08-18,26615,3037
2006-08-19,26531,3025
2006-08-20,26431,3015
2006-08-21,26334,3003
2006-08-22,26233,2997
2006-08-23,26138,2991
2006-08-24,26047,2983
2006-08-25,25939,2972
2006-08-26,25844,2969
2006-08-27,25739,2956
2006-08-28,25644,2935
2006-08-29,25545,2928
2006-08-30,25454,2917
2006-08-31,25347,2910
2006-09-01,28258,3227
2006-09-02,28163,3219
2006-09-03,28052,3209
2006-09-04,27941,3199
2006-09-05,27835,3187
2006-09-06,27747,3178
2006-09-07,27656,3168
2006-09-08,27575,3158
2006-09-09,27473,3150
2006-09-10,27362,3142
2006-09-11,27283,3131
2006-09-12,27200,3122
2006-09-13,27104,3113
2006-09-14,27018,3102
2006-09-15,29919,3423
2006-09-16,29834,3416
2006-09-17,29719,3407
2006-09-18,29621,3394
2006-09-19,29530,3388
2006-09-20,29420,3380
2006-09-21,29326,3372
2006-09-22,29235,3367
2006-09-23,29152,3351
2006-09-24,29053,3341
2006-09-25,28963,3331
2006-09-26,28874,3319
2006-09-27,28792,3308
2006-09-28,28700,3294
2006-09-29,28601,3291
2006-09-30,28509,3286
2006-10-01,31407,3622
2006-10-02,31311,3611
2006-10-03,31214,3601
2006-10-04,31133,3590
2006-10-05,31048,3576
2006-10-06,30966,3569
2006-10-07,30869,3554
2006-10-08,30759,3547
2006-10-09,30654,3537
2006-10-10,30578,3532
2006-10-11,30485,3525
2006-10-12,30399,3517
2006-10-13,30311,3506
2006-10-14,30221,3496
2006-10-15,33174,3839
2006-10-16,33079,3832
2006-10-17,32980,3828
2006-10-18,32872,3819
2006-10-19,32788,3813
2006-10-20,32690,3802
2006-10-21,32614,3793
2006-10-22,32518,3785
2006-10-23,32408,3775
2006-10-24,32316,3767
2006-10-25,32226,3757
2006-10-26,32146,3745
2006-10-27,32064,3736
2006-10-28,31947,3725
2006-10-29,31847,3713
2006-10-30,31752,3705
2006-10-31,31650,3698
2006-11-01,34485,4042
2006-11-02,34397,4031
2006-11-03,34302,4018
2006-11-04,34213,4009
2006-11-05,34105,4003
2006-11-06,34008,3996
2006-11-07,33906,3982
2006-11-08,33808,3970
2006-11-09,33716,3965
2006-11-10,33633,3958
2006-11-11,33546,3946
2006-11-12,33445,3937
2006-11-13,33350,3924
2006-11-14,33261,3915
2006-11-15,36231,4251
2006-11-16,36163,4240
2006-11-17,36071,4223
2006-11-18,35964,4214
2006-11-19,35883,4207
2006-11-20,35795,4193
2006-11-21,35694,4184
2006-11-22,35600,4175
2006-11-23,35511,4162
2006-11-24,35418,4144
2006-11-25,35341,4140
2006-11-26,35249,4133
2006-11-27,35166,4124
2006-11-28,35074,4115
2006-11-29,34984,4103
2006-11-30,34897,4098
2006-12-01,37817,4406
2006-12-02,37729,4398
2006-12-03,37654,4386
2006-12-04,37558,4376
2006-12-05,37479,4367
2006-12-06,37380,4359
2006-12-07,37295,4348
2006-12-08,37198,4337
2006-12-09,37090,4326
2006-12-10,37003,4315
2006-12-11,36922,4306
2006-12-12,36831,4298
2006-12-13,36729,4288
2006-12-14,36633,4279
2006-12-15,39552,4602
2006-12-16,39448,4591
2006-12-17,39345,4575
2006-12-18,39260,4564
2006-12-19,39176,4554
2006-12-20,39073,4543
2006-12-21,38983,4526
2006-12-22,38895,4519
2006-12-23,38803,4509
2006-12-24,38696,4501
2006-12-25,38585,4490
2006-12-26,38491,4478
2006-12-27,38395,4462
2006-12-28,38289,4453
2006-12-29,38191,4447
2006-12-30,38102,4437
2006-12-31,38025,4428
2007-01-01,40930,4762
2007-01-02,40851,4754
2007-01-03,40776,4742
2007-01-04,40680,4733
2007-01-05,40595,4726
2007-01-06,40493,4714
2007-01-07,40390,4705
2007-01-08,40298,4697
2007-01-09,40216,4686
2007-01-10,40108,4675
2007-01-11,40010,4663
2007-01-12,39900,4649
2007-01-13,39818,4641
2007-01-14,39715,4631
2007-01-15,42593,4957
2007-01-16,42490,4948
2007-01-17,42388,4938
2007-01-18,42281,4932
2007-01-19,42208,4927
2007-01-20,42117,4912
2007-01-21,41999,4903
2007-01-22,41915,4884
2007-01-23,41836,4873
2007-01-24,41732,4863
2007-01-25,41638,4852
2007-01-26,41556,4848
2007-01-27,41475,4838
2007-01-28,41375,4827
2007-01-29,41285,4820
2007-01-30,41185,4804
2007-01-31,41085,4793
2007-02-01,43953,5127
2007-02-02,43856,5118
2007-02-03,43768,5107
2007-02-04,43662,5097
2007-02-05,43568,5095
2007-02-06,43469,5086
2007-02-07,43357,5075
2007-02-08,43266,5061
2007-02-09,43173,5051
2007-02-10,43094,5046
2007-02-11,43010,5037
2007-02-12,42917,5026
2007-02-13,42829,5014
2007-02-14,42749,5007
2007-02-15,45659,5347
2007-02-16,45567,5335
2007-02-17,45481,5320
2007-02-18,45405,5309
2007-02-19,45326,5302
2007-02-20,45236,5292
2007-02-21,45150,5286
2007-02-22,45061,5278
2007-02-23,44958,5267
2007-02-24,44866,5253
2007-02-25,44761,5248
2007-02-26,44674,5239
2007-02-27,44582,5232
2007-02-28,44472,5215
2007-03-01,47445,5543
2007-03-02,47355,5534
2007-03-03,47273,5527
2007-03-04,47193,5520
2007-03-05,47096,5504
2007-03-06,46990,5497
2007-03-07,46895,5486
2007-03-08,46800,5476
2007-03-09,46699,5465
2007-03-10,46588,5457
2007-03-11,46499,5450
2007-03-12,46420,5442
2007-03-13,46322,5435
2007-03-14,46235,5425
2007-03-15,49130,5732
2007-03-16,49044,5717
2007-03-17,48933,5712
2007-03-18,48842,5695
2007-03-19,48749,5686
2007-03-20,48659,5673
2007-03-21,48554,5657
2007-03-22,48462,5647
2007-03-23,48353,5638
2007-03-24,48268,5624
2007-03-25,48170,5618
2007-03-26,48070,5609
2007-03-27,47968,5599
2007-03-28,47880,5589
2007-03-29,47783,5580
2007-03-30,47692,5573
2007-03-31,47593,5560
2007-04-01,50559,5858
2007-04-02,50464,5851
2007-04-03,50373,5840
2007-04-04,50285,5829
2007-04-05,50187,5813
2007-04-06,50085,5804
2007-04-07,49991,5793
2007-04-08,49882,5786
2007-04-09,49786,5775
2007-04-10,49686,5769
2007-04-11,49578,5762
2007-04-12,49488,5751
2007-04-13,49400,5739
2007-04-14,49306,5734
2007-04-15,52256,6047
2007-04-16,52168,6039
2007-04-17,52085,6027
2007-04-18,51997,6018
2007-04-19,51909,6007
2007-04-20,51802,5998
2007-04-21,51722,5990
2007-04-22,51628,5978
2007-04-23,51532,5967
2007-04-24,51439,5955
2007-04-25,51342,5944
2007-04-26,51240,5935
2007-04-27,51150,5922
2007-04-28,51049,5910
2007-04-29,50964,5902
2007-04-30,50871,5893
2007-05-01,53857,6205
2007-05-02,53766,6195
2007-05-03,53692,6181
2007-05-04,53592,6173
2007-05-05,53512,6163
2007-05-06,53419,6152
2007-05-07,53328,6144
2007-05-08,53239,6131
2007-05-09,53161,6115
2007-05-10,53062,6104
2007-05-11,52959,6093
2007-05-12,52869,6085
2007-05-13,52791,6081
2007-05-14,52706,6075
2007-05-15,55643,6388
2007-05-16,55562,6377
2007-05-17,55474,6367
2007-05-18,55386,6366
2007-05-19,55289,6358
2007-05-20,55197,6350
2007-05-21,55100,6343
2007-05-22,55022,6337
2007-05-23,54932,6326
2007-05-24,54840,6316
2007-05-25,54748,6305
2007-05-26,54657,6292
2007-05-27,54567,6282
2007-05-28,54481,6273
2007-05-29,54378,6265
2007-05-30,54277,6257
2007-05-31,54197,6242
2007-06-01,57152,6579
2007-06-02,57056,6565
2007-06-03,56971,6558
2007-06-04,56886,6552
2007-06-05,56787,6532
2007-06-06,56710,6526
2007-06-07,56615,6519
2007-06-08,56516,6508
2007-06-09,56423,6495
2007-06-10,56336,6485
2007-06-11,56239,6475
2007-06-12,56131,6469
2007-06-13,56043,6457
2007-06-14,55947,6454
2007-06-15,58928,6768
2007-06-16,58820,6759
2007-06-17,58709,6753
2007-06-18,58622,6745
2007-06-19,58541,6737
2007-06-20,58453,6727
2007-06-21,58370,6715
2007-06-22,58273,6707
2007-06-23,58178,6699
2007-06-24,58092,6689
2007-06-25,58004,6678
2007-06-26,57919,6670
2007-06-27,57833,6659
2007-06-28,57744,6648
2007-06-29,57638,6635
2007-06-30,57532,6627
2007-07-01,60403,6971
2007-07-02,60299,6962
2007-07-03,60205,6955
2007-07-04,60111,6943
2007-07-05,59997,6938
2007-07-06,59899,6925
2007-07-07,59803,6914
2007-07-08,59712,6907
2007-07-09,59623,6892
2007-07-10,59531,6881
2007-07-11,59448,6869
2007-07-12,59331,6858
2007-07-13,59231,6850
2007-07-14,59132,6838
2007-07-15,61968,7136
2007-07-16,61868,7124
2007-07-17,61790,7112
2007-07-18,61704,7101
2007-07-19,61614,7089
2007-07-20,61510,7081
2007-07-21,61419,7072
2007-07-22,61319,7058
2007-07-23,61217,7041
2007-07-24,61138,7037
2007-07-25,61045,7028
2007-07-26,60941,7018
2007-07-27,60854,7008
2007-07-28,60749,6993
2007-07-29,60653,6987
2007-07-30,60559,6978
2007-07-31,60460,6968
2007-08-01,63289,7259
2007-08-02,63209,7250
2007-08-03,63112,7241
2007-08-04,63019,7231
2007-08-05,62913,7217
2007-08-06,62833,7202
2007-08-07,62728,7194
2007-08-08,62642,7182
2007-08-09,62557,7176
2007-08-10,62459,7166
2007-08-11,62367,7153
2007-08-12,62267,7149
2007-08-13,62171,7140
2007-08-14,62093,7131
2007-08-15,64945,7424
2007-08-16,64849,7413
2007-08-17,64768,7410
2007-08-18,64690,7398
2007-08-19,64589,7389
2007-08-20,64489,7379
