date,apple,pen
2006-01-01,2999,332
2006-01-15,3084,337
2006-02-01,2971,341
2006-02-15,2894,331
2006-03-01,2939,330
2006-03-15,2970,328
2006-04-01,2961,325
2006-04-15,2943,309
2006-05-01,2994,347
2006-05-15,3046,325
2006-06-01,2974,288
2006-06-15,2921,350
2006-07-01,2989,323
2006-07-15,2915,353
2006-08-01,2983,318
2006-08-15,2983,346
2006-09-01,3028,343
2006-09-15,3067,316
2006-10-01,3092,334
2006-10-15,2984,311
2006-11-01,3013,341
2006-11-15,3028,307
2006-12-01,2911,311
2006-12-15,2923,351
2007-01-01,2974,314
2007-01-15,2999,349
2007-02-01,3085,395
2007-02-15,3031,340
2007-03-01,3049,322
2007-03-15,3069,345
2007-04-01,2957,335
2007-04-15,2980,321
2007-05-01,3048,367
2007-05-15,3000,340
2007-06-01,2943,342
2007-06-15,3013,346
2007-07-01,2982,346
2007-07-15,2972,342
2007-08-01,3026,298
2007-08-15,2967,297
2007-09-01,3096,316
2007-09-15,3098,337
2007-10-01,2997,339
2007-10-15,2952,344
2007-11-01,2983,335
2007-11-15,2983,360
2007-12-01,3030,322
2007-12-15,3059,348
2008-01-01,3032,337
2008-01-15,2968,303
2008-02-01,2978,302
2008-02-15,2990,330
2008-03-01,2940,350
2008-03-15,3075,377
2008-04-01,2984,327
2008-04-15,3004,318
2008-05-01,2976,360
2008-05-15,2967,336
2008-06-01,2860,325
2008-06-15,2991,363
2008-07-01,2981,346
2008-07-15,3144,328
2008-08-01,3034,340
2008-08-15,2870,359
2008-09-01,2915,352
2008-09-15,2960,340
2008-10-01,2911,345
2008-10-15,2999,338
2008-11-01,3092,312
2008-11-15,2951,343
2008-12-01,3013,326
2008-12-15,2993,343
2009-01-01,3013,354
2009-01-15,2991,316
2009-02-01,2937,278
2009-02-15,3064,327
2009-03-01,2979,332
2009-03-15,3053,335
2009-04-01,2972,352
2009-04-15,3054,346
2009-05-01,2894,338
2009-05-15,3015,329
2009-06-01,2945,333
2009-06-15,3082,334
2009-07-01,3132,328
2009-07-15,2961,322
2009-08-01,2970,358
2009-08-15,3069,351
2009-09-01,3158,326
2009-09-15,2965,308
2009-10-01,2927,308
2009-10-15,3035,319
2009-11-01,3005,370
2009-11-15,3087,333
2009-12-01,2976,318
2009-12-15,3036,319
2010-01-01,2910,359
2010-01-15,3001,345
2010-02-01,2961,342
2010-02-15,3039,328
2010-03-01,2926,322
2010-03-15,2985,327
2010-04-01,3078,344
2010-04-15,3038,331
2010-05-01,2955,344
2010-05-15,3012,296
2010-06-01,3042,298
2010-06-15,2993,305
2010-07-01,3057,353
2010-07-15,2991,316
2010-08-01,3003,337
2010-08-15,2965,386
2010-09-01,2970,352
2010-09-15,3022,331
2010-10-01,3003,339
2010-10-15,3012,352
2010-11-01,3023,342
2010-11-15,3006,337
2010-12-01,3047,324
2010-12-15,3129,331
2011-01-01,3042,340
2011-01-15,3046,325
2011-02-01,2981,348
2011-02-15,2979,347
2011-03-01,3020,306
2011-03-15,2971,304
2011-04-01,2934,337
2011-04-15,3012,310
2011-05-01,3017,322
2011-05-15,3028,332
2011-06-01,3032,326
2011-06-15,2928,332
2011-07-01,3065,346
2011-07-15,3026,301
2011-08-01,2973,340
2011-08-15,3067,307
2011-09-01,3014,351
2011-09-15,2996,324
2011-10-01,2934,361
2011-10-15,2948,348
2011-11-01,3052,349
2011-11-15,2963,353
2011-12-01,2983,321
2011-12-15,2930,344
2012-01-01,3010,325
2012-01-15,2987,316
2012-02-01,3077,361
2012-02-15,2983,306
2012-03-01,2990,320
2012-03-15,3015,322
2012-04-01,2998,316
2012-04-15,3045,298
2012-05-01,3007,308
2012-05-15,2940,329
2012-06-01,3031,313
2012-06-15,3021,313
2012-07-01,3019,348
2012-07-15,3013,334
2012-08-01,2964,344
2012-08-15,2983,344
2012-09-01,3113,333
2012-09-15,2999,324
2012-10-01,2930,325
2012-10-15,3046,339
2012-11-01,2937,300
2012-11-15,2966,380
2012-12-01,3015,311
2012-12-15,2976,343
2013-01-01,3047,330
2013-01-15,2956,336
2013-02-01,3012,316
2013-02-15,2993,299
2013-03-01,3065,327
2013-03-15,2975,318
2013-04-01,2983,320
2013-04-15,3007,320
2013-05-01,3040,331
2013-05-15,2966,343
2013-06-01,3037,316
2013-06-15,3014,311
2013-07-01,2973,341
2013-07-15,3082,362
2013-08-01,2954,381
2013-08-15,3012,334
2013-09-01,2956,347
2013-09-15,3015,347
2013-10-01,3011,319
2013-10-15,2976,327
2013-11-01,3001,322
2013-11-15,2934,294
2013-12-01,3075,325
2013-12-15,2927,307
2014-01-01,2973,345
2014-01-15,2999,341
2014-02-01,2905,360
2014-02-15,3005,308
2014-03-01,3061,316
2014-03-15,3037,367
2014-04-01,3018,298
2014-04-15,2987,345
2014-05-01,3025,314
2014-05-15,2980,365
2014-06-01,3026,321
2014-06-15,2949,344
2014-07-01,3008,335
2014-07-15,3020,317
2014-08-01,3048,344
2014-08-15,3018,329
2014-09-01,3031,329
2014-09-15,3036,310
2014-10-01,3066,341
2014-10-15,2990,323
2014-11-01,3019,317
2014-11-15,3008,321
2014-12-01,2962,336
2014-12-15,3000,326
2015-01-01,2980,339
2015-01-15,3024,350
2015-02-01,3061,347
2015-02-15,3058,341
2015-03-01,3052,298
2015-03-15,3022,332
2015-04-01,2957,342
2015-04-15,3001,371
2015-05-01,2981,323
2015-05-15,2946,303
2015-06-01,3068,344
2015-06-15,2982,343
2015-07-01,3010,336
2015-07-15,2963,355
2015-08-01,3100,311
2015-08-15,2933,340
2015-09-01,2984,317
2015-09-15,3018,347
2015-10-01,2978,316
2015-10-15,3010,322
2015-11-01,2953,390
2015-11-15,2906,330
2015-12-01,2961,349
2015-12-15,3073,344
