date,apple,pen
2006-01-31,3241,327
2006-02-28,6476,723
2006-03-31,9598,1072
2006-04-30,12824,1432
2006-05-31,16049,1803
2006-06-30,19334,2176
2006-07-31,22396,2518
2006-08-31,25334,2895
2006-09-30,28493,3270
2006-10-31,31633,3677
2006-11-30,34879,4076
2006-12-31,38005,4405
2007-01-31,41061,4769
2007-02-28,44443,5190
2007-03-31,47561,5531
2007-04-30,50836,5861
2007-05-31,54161,6207
2007-06-30,57494,6590
2007-07-31,60421,6929
2007-08-31,63467,7211
2007-09-30,66703,7527
2007-10-31,69766,7904
2007-11-30,72944,8287
2007-12-31,76116,8669
2008-01-31,79275,9005
2008-02-29,82593,9378
2008-03-31,85681,9728
2008-04-30,88709,10039
2008-05-31,91878,10418
2008-06-30,95168,10746
2008-07-31,98302,11142
2008-08-31,101436,11504
2008-09-30,104483,11836
2008-10-31,107700,12196
2008-11-30,110919,12563
2008-12-31,113884,12972
2009-01-31,117048,13316
2009-02-28,120410,13721
2009-03-31,123571,14101
2009-04-30,126731,14439
2009-05-31,129703,14763
2009-06-30,132739,15174
2009-07-31,135940,15524
2009-08-31,139064,15852
2009-09-30,142153,16193
2009-10-31,145302,16506
2009-11-30,148492,16864
2009-12-31,151496,17182
2010-01-31,154614,17533
2010-02-28,157952,17941
2010-03-31,160981,18284
2010-04-30,164112,18617
2010-05-31,167286,18965
2010-06-30,170553,19336
2010-07-31,173792,19725
2010-08-31,177011,20077
2010-09-30,180234,20393
2010-10-31,183475,20702
2010-11-30,186689,21100
2010-12-31,189856,21453
2011-01-31,193061,21811
2011-02-28,196627,22174
2011-03-31,199720,22521
2011-04-30,202997,22893
2011-05-31,206162,23276
2011-06-30,209396,23660
2011-07-31,212464,23950
2011-08-31,215702,24274
2011-09-30,219121,24604
2011-10-31,222160,24960
2011-11-30,225449,25319
2011-12-31,228597,25672
2012-01-31,231762,26049
2012-02-29,235176,26443
2012-03-31,238243,26780
2012-04-30,241556,27145
2012-05-31,244743,27549
2012-06-30,247873,27897
2012-07-31,250902,28189
2012-08-31,254029,28532
2012-09-30,257315,28899
2012-10-31,260617,29261
2012-11-30,263945,29645
2012-12-31,266978,30018
2013-01-31,270088,30359
2013-02-28,273561,30766
2013-03-31,276725,31118
2013-04-30,280008,31483
2013-05-31,283060,31855
2013-06-30,286293,32228
2013-07-31,289386,32590
2013-08-31,292504,32981
2013-09-30,295759,33370
2013-10-31,298867,33709
2013-11-30,302126,34069
2013-12-31,305292,34457
2014-01-31,308309,34803
2014-02-28,311653,35178
2014-03-31,314844,35498
2014-04-30,318188,35824
2014-05-31,321205,36155
2014-06-30,324426,36558
2014-07-31,327483,36892
2014-08-31,330555,37300
2014-09-30,333803,37635
2014-10-31,336768,37977
2014-11-30,340025,38350
2014-12-31,343116,38758
2015-01-31,346094,39091
2015-02-28,349371,39435
2015-03-31,352467,39776
2015-04-30,355699,40113
2015-05-31,359041,40445
2015-06-30,362421,40847
2015-07-31,365471,41177
2015-08-31,368499,41570
2015-09-30,371698,41968
2015-10-31,374943,42277
2015-11-30,378191,42679
2015-12-31,381330,43081
